strike,maturity,vol,type,in_the_money,price,vega,status,implied_vol,rel_vol_error,noise_bound
60,0.25,1,put,0,2.9619217351426403,8.7518885561872555,ok,1.0000000000000002,2.2204460492503131e-16,1.7579743126911454e-15
60,1,0.050000000000000003,call,1,40.778251362006316,1.0149048968842294e-23,zero_time_value,0,1,7859773239155.9238
60,1,0.050000000000000003,put,0,4.3874671557713418e-27,1.0149048968842294e-23,ok,0.050000000000000003,0,9.4970992308689372e-14
60,1,0.10000000000000001,call,1,40.778251436253441,2.3018247168397978e-05,ok,0.099999999882386587,1.1761341900395905e-09,4.5063410638444403e-07
60,1,0.10000000000000001,put,0,7.4247128488112825e-08,2.3018247168397978e-05,ok,0.10000000000000001,0,2.4278353071417217e-14
60,1,0.20000000000000001,call,1,40.796859157543715,0.89013762384080319,ok,0.20000000000000162,8.0491169285323849e-15,1.6774065967523498e-12
60,1,0.20000000000000001,put,0,0.01860779553739772,0.89013762384080319,ok,0.20000000000000001,0,6.660061311996503e-15
60,1,0.5,call,1,43.530740300787031,16.710163969350727,ok,0.4999999999999995,9.9920072216264089e-16,1.0033196259079017e-14
60,1,0.5,put,0,2.7524889387807239,16.710163969350727,ok,0.49999999999999994,1.1102230246251565e-16,1.7784477716222352e-15
60,1,1,call,1,54.195106361225612,23.21807150136442,ok,1.0000000000000004,4.4408920985006262e-16,2.4678732099923873e-15
60,1,1,put,0,13.416854999219284,23.21807150136442,ok,1.0000000000000002,2.2204460492503131e-16,1.0777000777659133e-15
60,2,0.050000000000000003,call,1,41.513995315620591,2.7924009110920322e-12,zero_time_value,0,1,15.293959766616686
60,2,0.050000000000000003,put,0,2.1955746092112837e-15,2.7924009110920322e-12,ok,0.050000000000000003,0,4.9608455263576039e-14
60,2,0.10000000000000001,call,1,41.514114255036851,0.021272730945961413,ok,0.099999999999779141,2.2086499296136708e-12,2.6977192001463372e-10
60,2,0.10000000000000001,put,0,0.00011893941625844154,0.021272730945961413,ok,0.10000000000000001,0,1.2956615900154919e-14
60,2,0.20000000000000001,call,1,41.717909521601534,6.2406666240210624,ok,0.20000000000000112,5.5511151231257827e-15,1.4403602203089089e-13
60,2,0.20000000000000001,put,0,0.20391420598092935,6.2406666240210624,ok,0.20000000000000001,0,3.8507476513688805e-15
60,2,0.5,call,1,47.842655837243377,29.121698911950222,ok,0.49999999999999978,4.4408920985006262e-16,4.5023672923413789e-15
60,2,0.5,put,0,6.3286605216227834,29.121698911950222,ok,0.49999999999999994,1.1102230246251565e-16,1.3206087413480941e-15
60,2,1,call,1,63.437473980915698,30.311895136265946,ok,1.0000000000000007,6.6613381477509392e-16,1.930030236162205e-15
60,2,1,put,0,21.923478665295086,30.311895136265946,ok,0.99999999999999989,1.1102230246251565e-16,1.0072170174258104e-15
60,5,0.050000000000000003,call,1,43.480463896081076,2.0597467866064609e-05,ok,0.049999999449578489,1.1008430278458547e-08,9.9557627473138029e-07
60,5,0.050000000000000003,put,0,3.1513150102434117e-08,2.0597467866064609e-05,ok,0.050000000000000003,0,2.2398458044931729e-14
60,5,0.10000000000000001,call,1,43.495356448381479,1.4891542935941351,ok,0.10000000000000928,9.2703622556200571e-14,1.9825264759508676e-12
60,5,0.10000000000000001,put,0,0.014892583813527677,1.4891542935941351,ok,0.10000000000000001,0,6.1738936738798498e-15
60,5,0.20000000000000001,call,1,44.697496911050273,23.993139624224618,ok,0.20000000000000018,8.3266726846886741e-16,2.2233967776373927e-14
60,5,0.20000000000000001,put,0,1.2170330464823307,23.993139624224618,ok,0.20000000000000001,0,2.1583942624999696e-15
60,5,0.5,call,1,56.76860199601488,46.064593593189009,ok,0.5,0,2.5329717472955232e-15
60,5,0.5,put,0,13.288138131446949,46.064593593189009,ok,0.5,0,1.0547662906316893e-15
60,5,1,call,1,77.03340495811176,32.24061531317539,ok,1,0,2.1951328354443663e-15
60,5,1,put,0,33.552941093543822,32.24061531317539,ok,1,0,1.2160750934885637e-15
75,0.0027397260273972603,0.050000000000000003,call,1,25.00342444174052,0,zero_time_value,0,1,inf
75,0.0027397260273972603,0.050000000000000003,put,0,0,0,zero_time_value,0,1,-nan
75,0.0027397260273972603,0.10000000000000001,call,1,25.00342444174052,0,zero_time_value,0,1,inf
75,0.0027397260273972603,0.10000000000000001,put,0,0,0,zero_time_value,0,1,-nan
75,0.0027397260273972603,0.20000000000000001,call,1,25.00342444174052,1.6088608652562156e-164,zero_time_value,0,1,9.1384226212469273e+153
75,0.0027397260273972603,0.20000000000000001,put,0,4.242364232376946e-168,1.6088608652562156e-164,ok,0.20000000000000001,0,1.1666698320906809e-12
75,0.0027397260273972603,0.5,call,1,25.00342444174052,1.0212073233370619e-26,zero_time_value,0,1,929648828928848.25
75,0.0027397260273972603,0.5,put,0,4.1234273835909514e-29,1.0212073233370619e-26,ok,0.49999999999998673,2.6534330288541241e-14,1.8724742960740365e-13
75,0.0027397260273972603,1,call,1,25.003424456732233,4.9555503845049386e-07,ok,0.99999999533577011,4.6642298912047409e-09,2.470476808270672e-06
75,0.0027397260273972603,1,put,0,1.4991715071476006e-08,4.9555503845049386e-07,ok,1.000000000000004,3.9968028886505635e-15,4.7380407440133745e-14
75,0.019178082191780823,0.050000000000000003,call,1,25.023962030785881,0,zero_time_value,0,1,inf
75,0.019178082191780823,0.050000000000000003,put,0,0,0,zero_time_value,0,1,-nan
75,0.019178082191780823,0.10000000000000001,call,1,25.023962030785881,5.2727718312854073e-94,zero_time_value,0,1,3.1970786156331866e+83
75,0.019178082191780823,0.10000000000000001,put,0,1.2102474502415027e-97,5.2727718312854073e-94,ok,0.10000000000000001,0,6.6771938339904608e-13
