payoff,replication,estimate,std_error,z_score,covered_95
otm_digital_k130,49,0.12118662868139096,0.0031717526401254881,1.4233488781455326,1
atm_call,50,10.642316608874765,0.14974013805451131,1.2804384928469621,1
otm_digital_k130,50,0.11728658804093803,0.0031276203720838787,0.19646563473923151,1
atm_call,51,10.40771871813341,0.14667284684954127,-0.2922480539026564,1
otm_digital_k130,51,0.12014027631444017,0.0031600200257529197,1.0975114609600036,1
atm_call,52,10.303712290360195,0.14487877144701705,-1.0137529491618213,1
otm_digital_k130,52,0.11528900624948651,0.0031045833624146466,-0.44550643624881198,1
atm_call,53,10.469859624934333,0.14769685689297959,0.13051092050489657,1
otm_digital_k130,53,0.11785732569563848,0.0031341478867070601,0.37815942934668451,1
atm_call,54,10.436309249280507,0.14768437039611948,-0.096654255739837991,1
otm_digital_k130,54,0.11757195686828824,0.0031308871311759891,0.28740695888230039,1
atm_call,55,10.521692598568258,0.14591065791091179,0.48734634879190425,1
otm_digital_k130,55,0.12090125985404071,0.003168560571839737,1.3347201793500696,1
atm_call,56,10.309549557856988,0.1452103931961482,-0.97123911880092395,1
otm_digital_k130,56,0.11500363742213633,0.0031012678872153823,-0.53799954014130935,1
atm_call,57,10.462584529186021,0.14609499968557099,0.082144885357467196,1
otm_digital_k130,57,0.11376703917028538,0.0030868291904473516,-0.94112073256856243,1
atm_call,58,10.513979250243965,0.14695193788057601,0.43140416501301687,1
otm_digital_k130,58,0.12014027631444019,0.0031600200257529193,1.0975114609600083,1
atm_call,59,10.327712124654663,0.14577601309354077,-0.84287836471452593,1
otm_digital_k130,59,0.11538412919193661,0.0031056871515183801,-0.41471946932803844,1
atm_call,60,10.398558351776815,0.1461458036138108,-0.35598162329868538,1
otm_digital_k130,60,0.11861830923523901,0.003142814026048307,0.6192511232912139,1
atm_call,61,10.48091107190421,0.14817015123704327,0.20468022382012044,1
otm_digital_k130,61,0.11937929277483959,0.003151437957207633,0.85902838395876224,1
