payoff,greek,method,h,mean,sd,bias,rmse,exact
digital,delta,fd_crn,0.01,0.01885152899092981,0.00037001859059892448,8.951164508291462e-05,0.00038069159695777917,0.018762017345846895
digital,delta,fd_independent,0.017782794100389229,0.01870691591717099,0.00067429942954669818,-5.5101428675905645e-05,0.00067654703319808339,0.018762017345846895
digital,delta,fd_crn,0.017782794100389229,0.018784966615561446,0.00029317516568332975,2.294926971455058e-05,0.00029407200947026402,0.018762017345846895
digital,delta,fd_independent,0.031622776601683791,0.018721146080671262,0.00040767585569209029,-4.0871265175632804e-05,0.00040971949383857112,0.018762017345846895
digital,delta,fd_crn,0.031622776601683791,0.018704077306662681,0.00018913773530303962,-5.7940039184214281e-05,0.00019781337431081593,0.018762017345846895
digital,delta,fd_independent,0.056234132519034911,0.018568657044875765,0.00023645094275275333,-0.00019336030097113002,0.0003054459924770856,0.018762017345846895
digital,delta,fd_crn,0.056234132519034911,0.018574787164637507,0.00012276174135204799,-0.00018723018120938781,0.00022388744023613141,0.018762017345846895
digital,delta,fd_independent,0.10000000000000001,0.018146799359102073,0.00012236487118549329,-0.0006152179867448225,0.00062726894783226358,0.018762017345846895
digital,delta,fd_crn,0.10000000000000001,0.018152355732912909,9.4364223393657488e-05,-0.00060966161293398574,0.00061692129882340513,0.018762017345846895
digital,delta,fd_independent,0.17782794100389229,0.016842932604433172,5.2696707962821171e-05,-0.0019190847414137235,0.0019198081122229632,0.018762017345846895
digital,delta,fd_crn,0.17782794100389229,0.016843736067504837,4.7317650498274157e-05,-0.0019182812783420586,0.0019188647745180794,0.018762017345846895
digital,delta,fd_independent,0.31622776601683794,0.013480867509700092,1.8553196523358659e-05,-0.0052811498361468034,0.0052811824256443407,0.018762017345846895
digital,delta,fd_crn,0.31622776601683794,0.013479791746632322,1.7075397409920427e-05,-0.0052822255992145736,0.0052822531982284291,0.018762017345846895
digital,delta,pathwise,nan,0,0,-0.018762017345846895,0.018762017345846895,0.018762017345846895
digital,delta,likelihood_ratio,nan,0.018746784703601322,0.0001062718202236841,-1.5232642245573136e-05,0.0001073579673961679,0.018762017345846895
digital,gamma,fd_independent,0.0001,-8.7314445598697663,41.574781193204537,-8.7311162245662146,42.481699845812635,-0.00032833530355232067
digital,gamma,fd_crn,0.0001,-0.24493402921193091,0.7657701644191226,-0.24460569390837861,0.80388798361891789,-0.00032833530355232067
digital,gamma,fd_independent,0.00017782794100389227,-2.8041557299826443,13.077552714238916,-2.8038273946790921,13.374746093023619,-0.00032833530355232067
digital,gamma,fd_crn,0.00017782794100389227,-0.063111433309072387,0.39099166295831572,-0.062783098005520066,0.39600024987123417,-0.00032833530355232067
digital,gamma,fd_independent,0.00031622776601683794,-0.90035934812239948,4.115402993020906,-0.90003101281884712,4.2126710789000787,-0.00032833530355232067
digital,gamma,fd_crn,0.00031622776601683794,-0.024493402921213901,0.14108307501493364,-0.02416506761766158,0.14313764196966342,-0.00032833530355232067
digital,gamma,fd_independent,0.0005623413251903491,-0.28127618345236211,1.3002327425511502,-0.2809478481488098,1.3302394063406526,-0.00032833530355232067
