h_rel,delta_fd,delta_abs_error,gamma_fd,gamma_abs_error
7.4989420933245587e-08,0.63683065111470571,6.0913385446781376e-11,0.01870044403450865,6.1573311338245645e-05
9.9999999999999995e-08,0.63683065175179765,5.7617854931635293e-10,0.018900436786079288,0.00013841944023239294
1.333521432163324e-07,0.63683065139962158,2.2400248322895777e-10,0.018699761068002762,6.2256277844133234e-05
1.7782794100389227e-07,0.63683065125364491,7.8025808036841227e-11,0.018761894050507249,1.2329533964627881e-07
2.3713737056616554e-07,0.63683065166181008,4.8619097636759534e-10,0.01877625666045217,1.4239314605275083e-05
3.1622776601683792e-07,0.63683065119010629,1.4487189226031205e-11,0.018765433649253704,3.4163034068092346e-06
4.2169650342858225e-07,0.63683065117725135,1.6322498908039051e-12,0.018771683193974289,9.6658481273936836e-06
5.6234132519034904e-07,0.63683065115073423,2.4884871940855646e-11,0.018764140987453104,2.1236416062088426e-06
7.4989420933245585e-07,0.63683065122690707,5.1287973867886194e-11,0.018763621228079893,1.6038822329977886e-06
9.9999999999999995e-07,0.63683065117027859,5.3405058153543905e-12,0.018761170396430195,8.4694941670029888e-07
1.3335214321633241e-06,0.63683065116434279,1.127631321651279e-11,0.018761694009360796,3.2333648609939036e-07
1.7782794100389229e-06,0.63683065119560056,1.998146093029618e-11,0.018761894056504563,1.2328934233252209e-07
2.3713737056616552e-06,0.63683065117561477,4.3298697960381105e-15,0.018761725912257003,2.9143358989264234e-07
3.1622776601683792e-06,0.63683065115131654,2.4302559964439752e-11,0.018761880937261582,1.3640858531269173e-07
4.2169650342858224e-06,0.63683065115818283,1.7436274646343008e-11,0.018762053622498432,3.6276651536881754e-08
5.6234132519034912e-06,0.63683065115764992,1.7969181698163084e-11,0.018761983933266772,3.3412580122821334e-08
7.4989420933245581e-06,0.63683065112223103,5.338807174126714e-11,0.018762016526391048,8.1945584692877382e-10
1.0000000000000001e-05,0.6368306510943631,8.125600192698812e-11,0.018762015940952691,1.404894204443119e-09
1.3335214321633241e-05,0.63683065102364667,1.519724346366047e-10,0.018762017660670628,3.1482373305524725e-10
1.7782794100389229e-05,0.63683065090482072,2.7079838371690812e-10,0.018762013143675954,4.2021709410755559e-09
2.3713737056616554e-05,0.63683065069033507,4.8528403517877905e-10,0.01876201779002239,4.441754949957577e-10
3.1622776601683795e-05,0.63683065031556363,8.6005547128564785e-10,0.018762016651261367,6.9458552798273843e-10
4.2169650342858222e-05,0.63683064964600011,1.5296189870284138e-09,0.018762016062706742,1.2831401531576692e-09
5.6234132519034907e-05,0.63683064845688542,2.7187336826273167e-09,0.01876201718807104,1.5777585488097046e-10
7.4989420933245586e-05,0.63683064633999276,4.8356263437909774e-09,0.018762017284623827,6.1223068281712756e-11
0.0001,0.63683064257598787,8.5996312293445953e-09,0.018762017077714421,2.6813247455681477e-10
0.0001333521432163324,0.63683063588371658,1.5291902522029943e-08,0.018762016861815455,4.8403143992903352e-10
0.00017782794100389227,0.63683062398232138,2.7193297724714682e-08,0.018762016603833472,7.4201342292745665e-10
0.00023713737056616554,0.63683060281863113,4.8356987969455645e-08,0.01876201600845976,1.3373871350641497e-09
0.00031622776601683794,0.63683056518303705,8.5992582055105515e-08,0.018762015059788972,2.2860579228234368e-09
0.00042169650342858224,0.6368304982568801,1.5291873900480368e-07,0.01876201325770465,4.0881422448679761e-09
0.0005623413251903491,0.63683037924362096,2.7193199814146141e-07,0.018762010085471827,7.2603750685129587e-09
0.00074989420933245586,0.63683016760488698,4.8357073212379476e-07,0.018762004431873393,1.291397350167145e-08
0.001,0.63682979125346217,8.5992215692609619e-07,0.018761994380869139,2.2964977756251281e-08
0.0013335214321633241,0.63682912199876218,1.529176856918113e-06,0.018761976508676094,4.0837170801194533e-08
0.0017782794100389228,0.63682793188784115,2.7192877779524949e-06,0.018761944727117699,7.2618729196616272e-08
0.0023713737056616554,0.63682581557234141,4.8356032776863955e-06,0.018761888209501011,1.2913634588399003e-07
0.0031622776601683794,0.63682205228079158,8.5988948275161903e-06,0.018761787703739204,2.296421076908306e-07
0.0042169650342858229,0.63681536044058762,1.5290735031481262e-05,0.018761608974943087,4.0837090380801966e-07
0.005623413251903491,0.63680346156554368,2.7189610075417647e-05,0.018761291137193513,7.2620865338227092e-07
0.0074989420933245579,0.63678230547682901,4.8345698790086544e-05,0.018760725908570031,1.2914372768645099e-06
0.01,0.6367446949029052,8.5956272713905157e-05,0.018759720697865134,2.2966479817608521e-06
0.013335214321633241,0.63667784713459896,0.00015280404102013811,0.018757932911502802,4.0844343440933628e-06
0.017782794100389229,0.63655908165800845,0.00027156951761064807,0.018754752968049862,7.2643777970331225e-06
0.023713737056616554,0.63634822632025612,0.00048242485536298396,0.018749095749263072,1.2921596583823081e-05
0.031622776601683791,0.63597434888414894,0.0008563022914701568,0.018739028139259529,2.2989206587366307e-05
0.042169650342858224,0.63531290174812871,0.0015177494274903891,0.018721101786805756,4.0915559041138777e-05
0.056234132519034911,0.63414738978091745,0.0026832613947016526,0.018689152018625484,7.2865327221411508e-05
0.074989420933245579,0.632108353870802,0.0047222973048171024,0.018632121139152441,0.00012989620669445409
0.10000000000000001,0.62858658308864535,0.0082440680869737548,0.018530086750368869,0.00023193059547802625
