problem,method,n,greek,value,reference,relative_error
european_call_k100,bbs,26,delta,0.63776005493506827,0.63683065117561899,0.0014594205818039274
european_call_k100,bbs,26,gamma,0.018353555880305267,0.018762017345846895,-0.02177065813405421
european_call_k100,bbs,26,theta,-6.3218591638002763,-6.4140275464381968,-0.014369813969555389
european_call_k100,bbs,50,delta,0.63731528866325882,0.63683065117561899,0.00076101470107503566
european_call_k100,bbs,50,gamma,0.018544640279296601,0.018762017345846895,-0.011586017779607882
european_call_k100,bbs,50,theta,-6.3650523168447659,-6.4140275464381968,-0.0076356437883756678
european_call_k100,bbs,51,delta,0.63730962308660344,0.63683065117561899,0.00075211818102705053
european_call_k100,bbs,51,gamma,0.018550224585596062,0.018762017345846895,-0.011288378874551808
european_call_k100,bbs,51,theta,-6.366319078040906,-6.4140275464381968,-0.0074381452296355954
european_call_k100,bbs,100,delta,0.63707330639435156,0.63683065117561899,0.00038103570907677131
european_call_k100,bbs,100,gamma,0.018651907838299453,0.018762017345846895,-0.0058687456427395368
european_call_k100,bbs,100,theta,-6.3892408756281327,-6.4140275464381968,-0.003864447202729715
european_call_k100,bbs,101,delta,0.63707268236197323,0.63683065117561899,0.0003800558058997261
european_call_k100,bbs,101,gamma,0.018653600147525033,0.018762017345846895,-0.0057785469613085283
european_call_k100,bbs,101,theta,-6.3896269476254943,-6.4140275464381968,-0.0038042553818236069
european_call_k100,bbs,200,delta,0.63695205866488325,0.63683065117561899,0.00019064328803919395
european_call_k100,bbs,200,gamma,0.018706597025833192,0.018762017345846895,-0.0029538571994749407
european_call_k100,bbs,200,theta,-6.401557282133119,-6.4140275464381968,-0.0019442174538216728
european_call_k100,bbs,201,delta,0.63695230929198143,0.63683065117561899,0.00019103684180055147
european_call_k100,bbs,201,gamma,0.018707154509581225,0.018762017345846895,-0.0029241437769917944
european_call_k100,bbs,201,theta,-6.4016855397209476,-6.4140275464381968,-0.0019242210339590615
european_call_k100,bbs,500,delta,0.6368792327634184,0.63683065117561899,7.6286509937517621e-05
european_call_k100,bbs,500,gamma,0.018739760108108634,0.018762017345846895,-0.0011862923548137116
european_call_k100,bbs,500,theta,-6.4090206896607604,-6.4140275464381968,-0.0007806104263173852
european_call_k100,bbs,501,delta,0.63687946939778939,0.63683065117561899,7.6658091252790328e-05
european_call_k100,bbs,501,gamma,0.018739911963757103,0.018762017345846895,-0.0011781985744024892
european_call_k100,bbs,501,theta,-6.4090560465390682,-6.4140275464381968,-0.00077509799624875253
