payoff,greek,method,paths,best_h,bias,sd,rmse,exact
digital,delta,pathwise,8192,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,16384,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,32768,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,65536,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,131072,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,262144,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,likelihood_ratio,256,nan,-0.00012422754978431635,0.0019323581548529275,0.0019363472113110357,0.018762017345846895
digital,delta,likelihood_ratio,512,nan,9.02757435984336e-05,0.0011856366213990304,0.0011890685042859213,0.018762017345846895
digital,delta,likelihood_ratio,1024,nan,0.0001055452671289113,0.00088236530101212763,0.0008886553481769723,0.018762017345846895
digital,delta,likelihood_ratio,2048,nan,4.0963289126165481e-05,0.00067965042822324664,0.00068088376074046321,0.018762017345846895
digital,delta,likelihood_ratio,4096,nan,-2.1809585637869167e-05,0.00048563162143156819,0.00048612110606303602,0.018762017345846895
digital,delta,likelihood_ratio,8192,nan,-1.3833907299129478e-05,0.00034425690726059606,0.00034453475178534824,0.018762017345846895
digital,delta,likelihood_ratio,16384,nan,1.2562337450606337e-05,0.0002254009278013388,0.00022575072663432835,0.018762017345846895
digital,delta,likelihood_ratio,32768,nan,-1.7805547603038513e-05,0.00015248067510479515,0.00015351675415360426,0.018762017345846895
digital,delta,likelihood_ratio,65536,nan,-1.5232642245573136e-05,0.0001062718202236841,0.0001073579673961679,0.018762017345846895
digital,delta,likelihood_ratio,131072,nan,-1.3784527626427984e-05,8.1054986388405783e-05,8.2218757107538438e-05,0.018762017345846895
digital,delta,likelihood_ratio,262144,nan,-1.647509109138981e-05,5.244095974531933e-05,5.4968016932392554e-05,0.018762017345846895
digital,gamma,fd_independent,256,0.31622776601683794,0.00017796395287746411,5.3489208741068974e-05,0.00018582858761643191,-0.00032833530355232067
digital,gamma,fd_independent,512,0.17782794100389229,7.7751215666435917e-06,0.00012847402785231754,0.00012870908417036517,-0.00032833530355232067
digital,gamma,fd_independent,1024,0.17782794100389229,3.6691632828238208e-05,0.00010434803934325104,0.00011061098152707495,-0.00032833530355232067
digital,gamma,fd_independent,2048,0.17782794100389229,5.4638229500116693e-05,6.0634498705482667e-05,8.1620331757305433e-05,-0.00032833530355232067
digital,gamma,fd_independent,4096,0.17782794100389229,6.7994903749519814e-05,5.3026058313676191e-05,8.6226850784380688e-05,-0.00032833530355232067
digital,gamma,fd_independent,8192,0.17782794100389229,7.1035727354409775e-05,3.5288122200809291e-05,7.9317880261825521e-05,-0.00032833530355232067
digital,gamma,fd_independent,16384,0.10000000000000001,8.8572138776880482e-07,7.834690559485686e-05,7.8351912029421233e-05,-0.00032833530355232067
digital,gamma,fd_independent,32768,0.10000000000000001,1.5191683019902366e-05,5.7161254842291919e-05,5.9145551718811713e-05,-0.00032833530355232067
digital,gamma,fd_independent,65536,0.10000000000000001,1.9986039850963019e-05,3.860185160100844e-05,4.3468893889200355e-05,-0.00032833530355232067
digital,gamma,fd_independent,131072,0.10000000000000001,2.9851438249787164e-05,3.2413861389343653e-05,4.406548281533336e-05,-0.00032833530355232067
digital,gamma,fd_independent,262144,0.10000000000000001,2.8568936457939922e-05,2.2426496092271888e-05,3.6319854863621015e-05,-0.00032833530355232067
digital,gamma,fd_crn,256,0.17782794100389229,9.9206376222352139e-05,0.0001457245044189718,0.00017628821932087752,-0.00032833530355232067
digital,gamma,fd_crn,512,0.17782794100389229,9.5350841387472864e-05,8.5041587567815069e-05,0.00012776484089667769,-0.00032833530355232067
digital,gamma,fd_crn,1024,0.17782794100389229,8.5253012058027162e-05,7.8486539139887215e-05,0.00011588016608170344,-0.00032833530355232067
digital,gamma,fd_crn,2048,0.17782794100389229,8.6170996542522219e-05,6.2514154187142144e-05,0.00010645872495415845,-0.00032833530355232067
digital,gamma,fd_crn,4096,0.10000000000000001,4.4211829666190188e-05,7.5712405014830697e-05,8.7675847047872737e-05,-0.00032833530355232067
digital,gamma,fd_crn,8192,0.10000000000000001,3.5103912431781585e-05,5.476148585341633e-05,6.5046944593056077e-05,-0.00032833530355232067
digital,gamma,fd_crn,16384,0.10000000000000001,2.8191329829570992e-05,4.1051788418706647e-05,4.9799602507790325e-05,-0.00032833530355232067
digital,gamma,fd_crn,32768,0.10000000000000001,3.1375472209329517e-05,3.8644820949099077e-05,4.9777931280300666e-05,-0.00032833530355232067
digital,gamma,fd_crn,65536,0.10000000000000001,3.0527274737798457e-05,2.2992709051611261e-05,3.8217524415496546e-05,-0.00032833530355232067
digital,gamma,fd_crn,131072,0.10000000000000001,3.1021678611578606e-05,1.6648648759872328e-05,3.5206846626894494e-05,-0.00032833530355232067
digital,gamma,fd_crn,262144,0.056234132519034911,7.5822013898242603e-06,2.8807981936125415e-05,2.9789085268735278e-05,-0.00032833530355232067
digital,gamma,likelihood_ratio,256,nan,1.6884039488410693e-05,0.00014808884600775313,0.00014904823749831541,-0.00032833530355232067
digital,gamma,likelihood_ratio,512,nan,2.723784655356661e-05,9.0806816846934844e-05,9.4803893753096509e-05,-0.00032833530355232067
digital,gamma,likelihood_ratio,1024,nan,2.4497738062333532e-05,7.0813197835573608e-05,7.4930955938589167e-05,-0.00032833530355232067
digital,gamma,likelihood_ratio,2048,nan,1.1492762208093344e-05,4.5311690286636215e-05,4.6746474303457596e-05,-0.00032833530355232067
digital,gamma,likelihood_ratio,4096,nan,8.401860307600715e-06,3.0907372009260657e-05,3.2029000938950084e-05,-0.00032833530355232067
