date,vix,realized_loss,var_delta_normal,var_delta_gamma_normal,var_mc_full_revaluation,var_historical_full_revaluation
1998-04-21,19.91,-0.1786904337010391,0,0.35913582855422443,0.6147124539134472,1.0143284918284792
1998-04-22,19.440000000000001,0.40408192125700992,0,0.35054480170891633,0.60035877655893977,1.0304885573923102
1998-04-23,20.600000000000001,0.21997953338146203,0,0.37169873699416789,0.6357577186824761,0.99180629673082787
1998-04-24,21.969999999999999,1.1789973109690282,0,0.39666978238028178,0.67747970727773676,0.95006872321563485
1998-04-27,26.09,-0.54949285034240258,0,0.47162889969358923,0.80553048811633143,0.86798238301509123
1998-04-28,24.170000000000002,-0.37170823794523145,0,0.43673031876725132,0.74640603947304918,0.95060865161574615
1998-04-29,22.780000000000001,-0.42898828213472573,0,0.41142712436124595,0.70293263546987461,1.0166830436437326
1998-04-30,21.18,-0.52139038715484887,0,0.3823455985708798,0.65343858088403284,1.1010639253530545
1998-05-01,19.34,0.1145616793699098,0,0.34878448059795131,0.59731523827467647,1.1411399506940381
1998-05-04,20.32,0.17880256014270568,0,0.36658533686358813,0.62721814778337848,1.1245380986335167
1998-05-05,21.460000000000001,0.1891866967476945,0,0.38735435978433586,0.66195701764810178,1.0849837697499627
1998-05-06,22.789999999999999,0.091053720098866364,0,0.41157710994189728,0.70316037073825211,1.0159568498885863
1998-05-07,23.390000000000001,-0.58248193538991533,0,0.42249098966552578,0.72213553336506831,0.98667582104684293
1998-05-08,20.57,0.045716996672882537,0,0.37110796551839004,0.6348373420228608,1.1205111687982203
1998-05-11,21.050000000000001,-0.10591383137146604,0,0.37985748857984769,0.64946725851991438,1.1073309947435375
1998-05-12,20.98,-0.23038360689321813,0,0.37859899910103539,0.64733643011821673,1.1113829500278047
1998-05-13,20.440000000000001,-0.29171194468882788,0,0.36875552710537307,0.63087558057596915,1.1226008772190932
1998-05-14,19.640000000000001,0.14047327465343251,0,0.35411073858240849,0.60645216908910626,1.1364091665043272
1998-05-15,20.440000000000001,0.21053271161436093,0,0.36870222409722497,0.63086788733806021,1.1227865632496101
1998-05-18,21.690000000000001,-0.36785913006320659,0,0.39146851815574102,0.66895157460898602,1.072024777332536
1998-05-19,20.390000000000001,-0.18218083098331839,0,0.36774554713888513,0.62933574633562284,1.1237738143231226
1998-05-20,19.890000000000001,-0.19870418525284528,0,0.35864397979654106,0.61408066802812211,1.1321786117025727
1998-05-21,19.379999999999999,-0.13592714290316543,0,0.34931021462288703,0.59849828849953468,1.1411864135139886
1998-05-22,18.989999999999998,0.73290248765637855,0,0.3422104578449624,0.58658140286452465,1.1481260042087111
1998-05-26,22.07,-0.0067785031937255269,0,0.39841648521601769,0.68051666970746005,1.0521957115730505
1998-05-27,22.59,-0.497847024669829,0,0.40795192657179319,0.69687409448099835,1.0260704898971404
1998-05-28,20.739999999999998,0.067108759003835949,0,0.37426798775485703,0.64002742785673217,1.1175101507492045
1998-05-29,21.32,0.42571600288419376,0,0.38487107181120406,0.65769994026328416,1.0931487981014065
1998-06-01,22.829999999999998,-0.26574312067775097,0,0.41232936747786975,0.70449323024138799,1.0141443114399733
1998-06-02,22,0.14507560664350372,0,0.39721617352051752,0.67839229281350732,1.056406236151112
1998-06-03,22.850000000000001,-0.32460909791150794,0,0.4126533600523713,0.70501530105665111,1.0128690665827822
1998-06-04,21.219999999999999,-0.39997654633737234,0,0.38297277283924502,0.6546477479735664,1.098041651309253
1998-06-05,19.780000000000001,0.071310067767996088,0,0.35671970159806382,0.61073690671118008,1.1337796884855962
1998-06-08,20.579999999999998,-0.093500700262993064,0,0.37127261192464728,0.63513981407306375,1.1204074191998554
1998-06-09,20.52,0.25946427914561454,0,0.37016981112850472,0.63330896738969855,1.1214289447516812
1998-06-10,21.48,0.4568229038248468,0,0.38769332042668925,0.66256360762927713,1.0837022212056162
1998-06-11,23.57,-0.30235875256496314,0,0.42577473609906114,0.72785812772036351,0.97817771765674255
1998-06-12,22.780000000000001,0.73761366435808196,0,0.41137892866782,0.70279928561358229,1.0163387548950089
1998-06-15,25.940000000000001,-0.13449096358692447,0,0.46884428064504247,0.80086416847737762,0.87375715749844751
1998-06-16,24.800000000000001,-0.45462476392221784,0,0.44808397348845175,0.76579491595694105,0.92181006794003384
